electricity_kwh,lpg_kg,fuel_litres,flights_year,public_transport,meat_days_week,waste_kg_week,brands_used,brand_co2,total_CO2,category
845.7870979824249,9.8977128220967,168.4981728070648,15,28,3,2.144823581565982,"None, Zomato/Swiggy, Apple/Samsung",19.2,1282.6150401160896,High
258.66231589868056,0.36133270191728295,181.7636525603373,7,25,2,12.346481360079046,"Amazon, Zomato/Swiggy, Apple/Samsung",27.7,800.5829264853705,High
383.64718996709234,12.171631957512902,58.898543000708,13,26,2,17.70533356775857,H&M/Zara,11.3,709.5537297167087,High
69.54289145331077,16.60919180858723,114.74630876443803,4,37,0,10.374520732495416,"Zomato/Swiggy, None",4.2,463.95412115432515,Medium
978.0811385221054,4.736035401209014,64.28990360847149,0,28,6,4.134517031496203,"Amazon, None, H&M/Zara",19.8,997.1989923464764,High
113.31920727163877,4.421275101703692,51.389702316169526,18,32,6,3.206418972953409,McDonalds/KFC,9.1,440.8871751199304,Medium
903.3100677140909,12.177723662385409,121.41735624051013,4,27,1,18.095972026465553,Uber/Ola,6.8,1252.2142890686669,High
347.33832847143196,16.35958552850988,163.5990761199564,2,30,3,14.331119226289884,"Zomato/Swiggy, H&M/Zara",15.5,830.749774621321,High
608.1785818865847,4.992406756871517,18.71956122533085,16,18,3,19.357715535717688,"None, Uber/Ola",6.8,791.222715553271,High
695.3497629677032,18.645253024860782,55.15375227321429,6,47,2,2.5646238055340933,"Amazon, Netflix",9.7,868.0663778667462,High
183.78770905955878,18.54774713363098,41.02683617722545,16,25,2,18.14964424544485,"H&M/Zara, Uber/Ola",18.1,568.8896010775557,Medium
471.5714088913187,4.010733438158667,159.67003463121284,12,49,6,17.067013938009502,Uber/Ola,6.8,1025.1769520338835,High
359.1927952343102,5.275688241136313,186.67441461844388,13,28,4,17.970518475558922,Zomato/Swiggy,4.2,987.1999100309657,High
103.77234232519207,14.011976218963229,15.988542036671793,11,10,4,1.1094961755356514,Zomato/Swiggy,4.2,266.4328750311646,Low
841.5339716735217,19.03466218048852,75.8426829414482,10,40,1,15.096166130016698,Netflix,1.2,1113.1734377021935,High
92.90936867260385,14.197653775526293,182.90180854373133,0,31,4,11.42982416907114,"McDonalds/KFC, None",9.1,634.9880381092556,Medium
670.5950615096734,8.89800099641076,68.92764410925966,2,20,3,11.890409241409975,"Apple/Samsung, Zomato/Swiggy, McDonalds/KFC",28.3,854.0605510186997,High
348.37350759885464,3.380026928530062,142.53228726274062,11,37,4,9.914837759702356,"H&M/Zara, Zomato/Swiggy, McDonalds/KFC",24.6,830.9206987453482,High
232.52286084177325,9.220196976792423,20.133277303868603,8,33,0,15.110861437216167,"Apple/Samsung, Zomato/Swiggy",19.2,437.7721343264888,Medium
683.731748768768,12.135355839411089,88.87750632242846,1,39,0,19.996946519051686,"Apple/Samsung, Zomato/Swiggy",19.2,956.1860379883213,High
595.8108287998955,6.6190383791330065,100.66015511832569,13,21,5,14.500228826209105,"Netflix, Amazon, H&M/Zara",21.0,987.8586387933897,High
349.4934445060884,10.205156424001796,151.53281559701207,4,47,2,13.882957904747135,"None, Uber/Ola",6.8,816.2251877236794,High
537.3127108462772,2.6042825665741187,57.76493011596524,2,26,2,13.434316597921537,"Apple/Samsung, H&M/Zara, Netflix",27.5,744.2566817658236,High
283.925246145899,9.043762090251729,52.837714510105414,11,59,6,14.209021727099795,Zomato/Swiggy,4.2,599.480749272888,Medium
870.5116360525576,1.81551637859108,60.59353403916627,11,7,1,7.500136881185817,"McDonalds/KFC, None, H&M/Zara",20.4,1042.3876992510748,High
348.1278413108035,0.9817749989798119,111.13930175874816,6,39,0,7.084175129661955,"Apple/Samsung, None, H&M/Zara",26.3,680.4497832176721,Medium
282.8953780739548,17.144798311986545,175.20088269295016,0,45,5,15.90242158713962,H&M/Zara,11.3,842.5378032725617,High
764.2420255066686,4.101631682921498,166.18827929226137,2,30,1,2.008672329706345,H&M/Zara,11.3,1054.9912633181768,High
66.71286359421914,11.503106582558667,11.589131282200382,10,0,1,15.425707025864293,"None, McDonalds/KFC",9.1,318.8871343231494,Medium
304.61114548177153,2.9796551681998484,175.7910222584047,12,38,6,16.4629901182218,Amazon,8.5,910.8093029659261,High
406.6254596186145,5.250551418185827,19.021874843678365,9,33,4,10.910361232139087,"None, Uber/Ola, Zomato/Swiggy",11.0,537.9455391293192,Medium
888.1260637018128,7.226788395389687,83.06961386377394,18,46,2,18.29281381284729,"H&M/Zara, Zomato/Swiggy",15.5,1191.4310198969563,High
952.919712420927,2.8735287270954046,153.08088785084425,3,58,1,9.988661305796505,Amazon,8.5,1215.6758439622984,High
730.6540685682523,0.9192459402222064,16.302207206788633,4,23,1,4.383646693821044,"None, Zomato/Swiggy, H&M/Zara",15.5,694.3094509041927,Medium
517.9051919591768,17.543196040360222,8.079936055393366,10,27,2,7.866574325426783,"Apple/Samsung, None, H&M/Zara",26.3,636.1314487632447,Medium
658.5904716048042,0.2366567175954426,65.99916072215883,8,49,6,18.211482612690638,"Amazon, McDonalds/KFC, None",17.6,938.1468342516946,High
443.3009990972664,1.2264196567013563,145.98512157146294,12,3,2,19.881027478163354,Netflix,1.2,929.0567106628506,High
333.88454025623446,16.10144321656205,104.35128751442295,16,17,0,9.015225372800185,None,0.0,753.5233578091081,High
953.153664732647,5.64016673546112,83.40037412193753,14,28,2,4.170084366279499,"H&M/Zara, Zomato/Swiggy, Netflix",16.7,1128.53517742854,High
159.62071755942762,14.456406022293946,162.61466350314436,12,22,4,6.440256324448619,"H&M/Zara, Amazon",19.8,693.5873846040131,Medium
379.07388964760355,2.924514984358275,153.34185243884892,10,36,0,11.512630507765316,"Uber/Ola, None, McDonalds/KFC",15.899999999999999,814.954160980733,High
904.1345119625635,4.745634971934387,157.2086419467929,0,26,6,11.869822447265785,Uber/Ola,6.8,1250.9894698840324,High
736.984359058046,11.455530331939869,91.94536478984038,7,15,5,12.97112872717802,"Apple/Samsung, Zomato/Swiggy, H&M/Zara",30.5,1060.7280445425663,High
77.64637875682776,19.77271676978567,3.8898484984062565,4,44,1,16.87171407887839,"Amazon, McDonalds/KFC, Zomato/Swiggy",21.8,287.0277317242612,Low
71.94468975303477,1.4688894031844635,34.427394698306045,15,26,4,14.513068882072526,"Apple/Samsung, Netflix, None",16.2,392.7819468225453,Medium
540.6868394933459,8.011091959636644,148.26008565532516,3,8,4,5.955964303547631,Amazon,8.5,892.838325030633,High
510.0404034185206,0.8616194001184962,150.634694349925,18,4,0,8.505837153224007,Uber/Ola,6.8,945.5828070545049,High
470.8419617235023,3.984528853119498,194.45972254026728,17,58,1,16.956515092276256,Zomato/Swiggy,4.2,1093.6138290453032,High
337.22657374705847,18.14942053677009,38.037305382038554,1,7,0,13.03427074150851,"Zomato/Swiggy, None",4.2,521.2602641574897,Medium
987.3067838229571,1.9292020757953932,24.585357630529003,12,17,3,4.161942916649746,H&M/Zara,11.3,1054.9686993077905,High
308.3879568342124,17.13711842751267,27.757926747202877,15,34,3,7.185237277526053,"Amazon, H&M/Zara",19.8,544.2329775792961,Medium
515.5381961185338,3.556064762201625,36.95762301482806,7,5,0,16.030727336187127,"Amazon, H&M/Zara",19.8,664.3596070584647,Medium
434.648441981913,17.235696930754077,105.69366790157491,18,42,1,4.269788343144231,"H&M/Zara, McDonalds/KFC",20.4,828.981667549144,High
211.73695466365498,10.760439262713504,195.04229259483031,2,22,6,14.12996240169481,"None, McDonalds/KFC, Amazon",17.6,825.9314160350201,High
242.48787816901464,17.56413348453687,117.8862966001214,18,45,1,11.707194188399889,Uber/Ola,6.8,781.5182256149914,High
922.3876049092843,3.0340728930304084,104.53761312932856,16,25,2,3.8020232216217575,"Amazon, Zomato/Swiggy",12.7,1178.1810783688716,High
865.3657367131574,15.24073102615652,134.6712460767742,8,55,6,14.088699556587793,"H&M/Zara, McDonalds/KFC",20.4,1254.4511530819227,High
239.09209052933477,13.613971921611533,14.78607815163131,16,50,4,3.7046304424482246,"Uber/Ola, McDonalds/KFC",15.899999999999999,433.97953943614715,Medium
881.8794927140378,10.85866774785925,163.07082683007314,0,38,0,8.570276003083944,"Zomato/Swiggy, H&M/Zara",15.5,1185.8355102924852,High
248.7268235768004,16.21174688821946,129.37590866384022,3,23,6,6.862638565965886,Apple/Samsung,15.0,675.0950328723893,Medium
